,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Trailing_pe
483,483,CRWD,Information Technology,2021-12-02,2022,Q3,https://www.fool.com/earnings/call-transcripts/2021/12/02/crowdstrike-holdings-inc-crwd-q3-2022-earnings-cal/,/Users/gyf/Desktop/earning call analysis/CRWD/2022/Q3/,0.0
484,484,OKTA,Information Technology,2021-12-02,2022,Q3,https://www.fool.com/earnings/call-transcripts/2021/12/02/okta-inc-okta-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/OKTA/2022/Q3/,0.0
485,485,SNPS,Information Technology,2021-12-02,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/12/02/synopsys-inc-snps-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SNPS/2021/Q4/,56.68503
486,486,ZS,Information Technology,2021-12-01,2022,Q1,https://www.fool.com/earnings/call-transcripts/2021/12/01/zscaler-inc-zs-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ZS/2022/Q1/,0.0
487,487,HPE,Information Technology,2021-12-01,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/12/01/hewlett-packard-enterprise-co-hpe-q4-2021-earnings/,/Users/gyf/Desktop/earning call analysis/HPE/2021/Q4/,6.1841087
488,488,CRM,Information Technology,2021-12-01,2022,Q3,https://www.fool.com/earnings/call-transcripts/2021/12/01/salesforcecom-crm-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/CRM/2022/Q3/,90.13751
489,489,EQIX,Real Estate,2021-11-30,2021,FY,https://www.fool.com/earnings/call-transcripts/2021/11/30/equinix-inc-eqix-fy-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/EQIX/2021/FY/,136.94919
490,490,PWR,Industrials,2021-11-30,2021,FY,https://www.fool.com/earnings/call-transcripts/2021/11/30/quanta-services-inc-pwr-fy-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/PWR/2021/FY/,29.39748
491,491,LYB,Materials,2021-11-30,2021,FY,https://www.fool.com/earnings/call-transcripts/2021/11/30/lyondellbasell-industries-nv-lyb-fy-2021-earnings/,/Users/gyf/Desktop/earning call analysis/LYB/2021/FY/,6.2683253
492,492,PDD,Consumer Discretionary,2021-11-26,2021,Q3,https://www.fool.com/earnings/call-transcripts/2021/11/26/pinduoduo-inc-pdd-q3-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PDD/2021/Q3/,0.0
493,493,DE,Industrials,2021-11-24,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/11/24/deere-co-de-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DE/2021/Q4/,19.819906
494,494,ADSK,Information Technology,2021-11-24,2022,Q3,https://www.fool.com/earnings/call-transcripts/2021/11/24/autodesk-adsk-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ADSK/2022/Q3/,32.411438
495,495,BBY,Consumer Discretionary,2021-11-23,2022,Q3,https://www.fool.com/earnings/call-transcripts/2021/11/23/best-buy-bby-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/BBY/2022/Q3/,8.21135
496,496,HPQ,Information Technology,2021-11-23,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/11/23/hp-inc-hpq-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/HPQ/2021/Q4/,7.0168858
497,497,J,Industrials,2021-11-23,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/11/23/jacobs-engineering-group-inc-j-q4-2021-earnings-ca/,/Users/gyf/Desktop/earning call analysis/J/2021/Q4/,41.81946
498,498,SJM,Consumer Staples,2021-11-23,2022,Q2,https://www.fool.com/earnings/call-transcripts/2021/11/23/jm-smucker-sjm-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SJM/2022/Q2/,20.563643
